,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,product
49,0,1,0,1,1,1,0,0,3,5,2,Leaf
50,0,2,0,1,0,1,0,1,1,2,1,Leaf
51,0,7,0,1,6,0,1,6,0,9,9,Leaf
52,1,7,1,2,5,1,1,5,3,8,5,Leaf
53,0,1,0,0,2,0,2,2,0,4,4,Leaf
54,0,3,0,3,2,1,2,2,3,3,0,Leaf
55,1,8,0,0,7,1,4,3,4,9,5,Leaf
56,0,1,0,0,2,0,0,1,0,3,3,Leaf
57,1,1,0,1,1,0,0,2,2,3,1,Leaf
58,1,0,0,0,0,0,0,0,1,1,0,Leaf
59,0,4,0,0,1,0,1,1,0,5,5,Leaf
60,1,4,1,1,4,0,1,4,4,6,2,Leaf
61,0,1,0,0,3,1,0,4,3,6,3,Leaf
62,0,2,0,0,3,1,0,2,2,5,3,Leaf
63,0,2,0,0,0,0,0,3,1,7,6,Leaf
64,0,2,0,1,2,0,1,2,1,5,4,Leaf
65,0,3,1,1,1,0,2,1,1,3,2,Leaf
66,1,3,0,0,4,0,1,2,1,5,4,Leaf
67,0,0,0,0,1,0,0,1,2,4,2,Leaf
68,0,1,0,0,2,0,0,1,0,5,5,Leaf
69,0,3,0,1,2,0,0,3,2,3,1,Leaf
70,2,1,0,1,1,1,0,2,4,4,0,Leaf
71,0,1,0,0,2,1,0,2,1,3,2,Leaf
72,0,4,0,1,4,2,0,5,3,7,4,Leaf
73,0,2,0,1,0,0,0,1,3,4,1,Leaf
74,0,0,0,0,3,2,2,1,1,5,4,Leaf
75,1,4,0,0,5,1,1,7,4,14,10,Leaf
76,1,6,2,4,5,1,3,5,3,8,5,Leaf
77,0,4,0,0,3,0,0,2,0,3,3,Leaf
78,0,1,0,0,1,0,0,2,2,2,0,Leaf
79,0,2,0,1,3,1,0,4,2,6,4,Leaf
80,0,1,0,0,2,0,0,2,2,2,0,Leaf
81,1,2,0,0,3,0,0,3,2,3,1,Leaf
82,0,2,1,0,1,1,0,1,3,4,1,Leaf
83,0,1,0,0,2,0,2,2,0,3,3,Leaf
84,0,3,0,0,5,0,2,6,1,8,7,Leaf
85,0,2,0,0,2,0,0,7,2,4,2,Leaf
86,0,0,0,0,1,0,0,0,0,1,1,Leaf
87,0,2,0,0,2,2,1,2,3,3,0,Leaf
88,2,2,0,0,1,0,1,1,3,2,-1,Leaf
89,0,2,0,1,4,2,1,2,2,6,4,Leaf
90,0,0,0,0,3,0,1,3,0,5,5,Leaf
91,1,1,1,0,2,1,1,1,0,4,4,Leaf
92,1,3,0,1,5,0,1,4,2,7,5,Leaf
93,1,3,0,0,3,2,1,2,2,6,4,Leaf
94,0,0,0,0,0,0,0,1,1,2,1,Leaf
95,0,4,0,0,2,0,0,2,2,3,1,Leaf
96,1,0,0,1,1,0,0,0,1,1,0,Leaf
97,0,0,0,0,1,1,0,1,2,3,1,Leaf
98,0,1,0,0,1,2,1,2,4,2,-2,Leaf
99,0,2,0,0,2,0,1,3,0,3,3,Leaf
100,2,3,0,2,2,2,1,6,5,10,5,Leaf
101,0,2,1,0,2,1,0,2,3,4,1,Leaf
102,1,0,0,0,1,0,0,0,2,2,0,Leaf
103,0,1,0,0,2,0,0,4,3,5,2,Leaf
104,1,0,0,1,2,0,0,2,2,5,3,Leaf
105,0,3,0,1,2,0,2,3,0,5,5,Leaf
106,0,0,0,1,1,1,0,1,2,3,1,Leaf
107,1,1,1,0,1,0,0,0,1,1,0,Leaf
108,0,0,0,0,0,0,0,0,0,0,0,Leaf
109,0,6,0,0,4,0,2,5,1,6,5,Leaf
110,0,2,0,0,2,0,0,2,1,3,2,Leaf
111,0,0,0,0,1,0,0,1,0,3,3,Leaf
112,0,1,0,0,2,2,2,2,2,5,3,Leaf
113,0,2,0,1,3,0,0,2,2,4,2,Leaf
114,0,4,1,1,3,0,0,2,1,4,3,Leaf
115,0,1,0,0,2,0,0,1,0,5,5,Leaf
116,1,5,1,2,6,3,3,3,5,8,3,Leaf
117,0,1,1,0,4,2,1,4,3,8,5,Leaf
118,0,1,0,0,4,0,0,4,1,8,7,Leaf
119,0,1,0,0,2,0,0,2,0,4,4,Leaf
120,0,3,0,1,1,2,0,3,4,5,1,Leaf
121,2,3,0,1,3,2,1,2,3,5,2,Leaf
